pageIndex,area,price,plz,rooms,id
2,73,1870,1008,3.5,3000308759
2,66,2020,1008,3.5,3000143069
2,64,2100,1008,3,3000139214
2,95,2240,1008,4,3000302948
2,84,2250,1008,3.5,3000253581
2,80,2250,1008,3.5,3000229532
2,99,2550,1008,4.5,3000219223
2,126,2700,1008,3.5,3000201568
2,,3300,1008,,3000197595
1,21,1045,1023,1,2147644123
1,39,1069,1023,1.5,3000199716
1,39,1079,1023,1.5,2147844437
1,27,1270,1023,1,2147644124
1,56,1330,1023,2.5,2147846137
1,44,1365,1023,3,3000171660
1,56,1365,1023,2.5,3000301055
1,53,1406,1023,2.5,3000199717
1,66,1510,1023,3,3000181755
1,70,1510,1023,2.5,2147844556
1,35,1535,1023,1,2147644122
1,,1625,1023,3.5,3000134348
1,92,1860,1023,3,3000126439
1,72,1870,1023,3.5,3000199715
1,79,1889,1023,3.5,2147844555
1,91,2444,1023,4.5,3000199714
1,104,2511,1023,4.5,2147844554
1,220,3900,1023,6.5,3000246813
1,185,3965,1023,,3000271116
1,151,4485,1023,7.5,3000309053
2,62,2200,1010,2.5,3000190532
2,91,2220,1010,3.5,3000240298
2,92,2275,1010,3.5,3000315788
2,92,2290,1010,3.5,3000135680
2,89,2290,1010,3.5,3000135027
2,124,2380,1010,5,3000301073
2,83,2390,1010,3.5,3000313611
2,89,2500,1010,3.5,3000108991
2,51,2490,1006,2.5,3000259916
2,107,2520,1010,4.5,3000173497
2,120,2590,1010,5.5,2147936486
2,121,2650,1010,5.5,3000207118
2,100,2650,1010,4.5,3000245629
2,97,2670,1010,3.5,2147857318
2,94,2710,1010,4.5,3000292052
2,84,2730,1010,3.5,3000167889
2,51,2690,1006,2.5,3000277793
2,88,2785,1006,2.5,3000234036
2,104,2844,1006,4,3000285786
2,85,2950,1006,1,3000259876
2,99,3000,1006,2.5,2147713143
2,131,3200,1006,4.5,3000285254
2,128,3220,1006,2.5,3000048097
2,107,3300,1006,4.5,3000269466
2,77,3585,1006,3.5,3000303334
2,143,2760,1010,3.5,2147861344
2,93,2870,1010,4.5,3000251333
2,88,3025,1010,3.5,3000235633
2,140,3060,1010,4.5,3000309402
2,104,3300,1010,4.5,3000315959
2,106,3640,1006,4,3000258582
2,94,3775,1006,4.5,3000277799
2,,3775,1006,4.5,3000276151
2,142,4000,1006,4.5,3000029490
2,123,4100,1006,5.5,3000032333
2,123,4150,1006,5.5,3000300677
2,170,4250,1006,5,3000186827
2,120,4260,1006,4,3000102190
2,97,4360,1006,4.5,3000098197
2,97,4360,1006,4.5,3000110704
1,16,1135,1020,1,3000301006
1,98,2810,1020,5,3000298726
1,58,1390,1020,2,3000305699
1,,650,1020,1,3000267023
1,,700,1020,1,3000266787
1,23,725,1020,1,3000306620
1,,750,1020,1,3000267024
2,80,1945,1007,3,3000315834
1,,875,1020,,3000091111
1,25,910,1020,1,3000274024
1,29,960,1020,1,3000259486
1,,975,1020,,3000091109
1,,990,1020,1,3000188997
1,22,1055,1020,1,3000280263
1,,1080,1020,1,3000304395
1,,1150,1020,1,3000304390
1,24,1190,1020,1,3000239510
1,19,1200,1020,1,3000229725
2,51,2000,1007,3.5,3000244274
2,62,2015,1007,3.5,3000312620
2,,2015,1007,3.5,3000246246
2,53,2045,1007,3,3000126091
2,,2180,1007,3.5,3000303904
2,90,2195,1007,2.5,3000258729
2,66,2210,1007,2.5,3000308905
2,,2330,1007,4.5,2147947713
2,,2330,1007,4.5,2147992801
1,19,1200,1020,1,3000205515
1,28,1210,1020,1,3000302710
1,19,1215,1020,1,3000020746
1,18,730,1024,1,3000279908
2,,2350,1007,2.5,3000289081
2,,2380,1007,4.5,3000304393
2,72,2410,1007,3.5,3000274718
